impa_code,name,description,category,quantity,unit,min_stock,location
0591183,seoess suttr,seoeds «50-05 sooser seat. sottrs «50-83 sooeer 50:55. So0sen seat sottre 80-83 S088 soogss saa sorry © senses sas sero: sasres sorire 063 soiocz series sotto 5963.60,General,0,pcs,0,
0591184,‘anes steer eraser,ries Be orasta Be eras,General,0,pcs,0,
0591186,Capacity Taper mm mm,AC 110V Single Phase AC 220V Triple Phase,General,0,Per Set,0,
0591193,soosto Soto,© sea Sita seo setzrs ©5820 saa sogres seize 5820 sooner S040 sorize seeties soizrs se9,General,0,pcs,0,
0591201,Electric Jet Chisels,For use on scaling jobs. Free rotating handle will be fixed at an position to make oparalian easier,Hand Tools,0,Per Set,0,
0591202,Electric Jet Chisels,For use on scaling jobs. Free rotating handle will be fixed at an position to make oparalian easier,Hand Tools,0,Per Set,0,
0591206,soosss see soizn2,59-13,General,0,pcs,0,
0591207,soosss see soizn2,59-13,General,0,pcs,0,
0591208,lines.,"Pneumatic (Standard) Please specify on ordering, which model is required. Standard model or LOW Model.",General,0,Per Set,0,
0591209,soosss see soizn2,59-13,General,0,pcs,0,
0591210,Scaling Machines,"Escaladoras, Rustibus* Modelo 1200 Fléctrica Ay —) 7 y Rustibus 1200 HURL Rustibus 1200 Developed for de-scaling smaller areas and spot scaling surfaces. This scaling machine uses a disposable chain d",Rigging & Hardware,0,Per Set,0,
0591211,Scaling Machines,"Escaladoras, Rustibus* Modelo 1200 Fléctrica Ay —) 7 y Rustibus 1200 HURL Rustibus 1200 Developed for de-scaling smaller areas and spot scaling surfaces. This scaling machine uses a disposable chain d",Rigging & Hardware,0,Per Set,0,
0591212,Scaling Machines,"Escaladoras, Rustibus* Modelo 1200 Fléctrica Ay —) 7 y Rustibus 1200 HURL Rustibus 1200 Developed for de-scaling smaller areas and spot scaling surfaces. This scaling machine uses a disposable chain d",Rigging & Hardware,0,Per Set,0,
0591220,Weight 18kg,Pneumatic,General,0,pcs,0,
0591237,Chain Drums for Scaling Machine,"‘Chain drum (patented) for scaling machine,",General,0,Per Set,0,
0591238,adhesion.,591239 5912.40 FS,General,0,Per Set,0,
0591239,adhesion.,5912.40 FS,General,0,Per Set,0,
0591248,Explosion-proof Deck Scalers,IR X2000AIR AIR LOW,General,0,Per Set,0,
0591249,Explosion-proof Deck Scalers,IR X2000AIR AIR LOW,General,0,Per Set,0,
0591250,cope,,General,0,Per Set,0,
0591255,Eien,For KC-50 Electric Scaling Machine or KC-60 Pneumatic Scaling Machine,General,0,pcs,0,
0591256,Eien,For KC-50 Electric Scaling Machine or KC-60 Pneumatic Scaling Machine,General,0,pcs,0,
0591257,Eien,For KC-50 Electric Scaling Machine or KC-60 Pneumatic Scaling Machine,General,0,pcs,0,
